Orðflokkur;mark;íslensk skýring;ensk skýring;
lo;EVB-HK-ÞGFFT;efsta stig veik beyging hvorugkyn þágufall fleirtölu;superlative indefinite neuter dative plural;
lo;EVB-KK-EFET;efsta stig veik beyging karlkyn eignarfall eintölu;superlative definite masculine genitive singular;
lo;EVB-KK-EFFT;efsta stig veik beyging karlkyn eignarfall fleirtölu;superlative definite masculine genitive plural;
lo;EVB-KK-NFET;efsta stig veik beyging karlkyn nefnifall eintölu;superlative definite masculine nominative singular;
lo;EVB-KK-NFFT;efsta stig veik beyging karlkyn nefnifall fleirtölu;superlative definite masculine nominative plural;
lo;EVB-KK-ÞFET;efsta stig veik beyging karlkyn þolfall eintölu;superlative definite masculine accusative singular;
lo;EVB-KK-ÞFFT;efsta stig veik beyging karlkyn þolfall fleirtölu;superlative definite masculine accusative plural;
lo;EVB-KK-ÞGFET;efsta stig veik beyging karlkyn þágufall eintölu;superlative definite masculine dative singular;
lo;EVB-KK-ÞGFFT;efsta stig veik beyging karlkyn þágufall fleirtölu;superlative definite masculine dative plural;
lo;EVB-KVK-EFET;efsta stig veik beyging kvenkyn eignarfall eintölu;superlative definite feminine genitive singular;
lo;EVB-KVK-EFFT;efsta stig veik beyging kvenkyn eignarfall fleirtölu;superlative definite feminine genitive plural;
lo;EVB-KVK-NFET;efsta stig veik beyging kvenkyn nefnifall eintölu;superlative definite feminine nominative singular;
lo;EVB-KVK-NFFT;efsta stig veik beyging kvenkyn nefnifall fleirtölu;superlative definite feminine nominative plural;
lo;EVB-KVK-ÞFET;efsta stig veik beyging kvenkyn þolfall eintölu;superlative definite feminine accusative singular;
lo;EVB-KVK-ÞFFT;efsta stig veik beyging kvenkyn þolfall fleirtölu;superlative definite feminine accusative plural;
lo;EVB-KVK-ÞGFET;efsta stig veik beyging kvenkyn þágufall eintölu;superlative definite feminine dative singular;
lo;EVB-KVK-ÞGFFT;efsta stig veik beyging kvenkyn þágufall fleirtölu;superlative definite feminine dative plural;
lo;FSB-HK-EFET;frumstig sterk beyging hvorugkyn eignarfall eintölu;positive degree indefinite neuter genitive singular;
lo;FSB-HK-EFFT;frumstig sterk beyging hvorugkyn eignarfall fleirtölu;positive degree indefinite neuter genitive plural;
lo;FSB-HK-NFET;frumstig sterk beyging hvorugkyn nefnifall eintölu;positive degree indefinite neuter nominative singular;
lo;FSB-HK-NFFT;frumstig sterk beyging hvorugkyn nefnifall fleirtölu;positive degree indefinite neuter nominative plural;
lo;FSB-HK-ÞFET;frumstig sterk beyging hvorugkyn þolfall eintölu;positive degree indefinite neuter accusative singular;
lo;FSB-HK-ÞFFT;frumstig sterk beyging hvorugkyn þolfall fleirtölu;positive degree indefinite neuter accusative plural;
lo;FSB-HK-ÞGFET;frumstig sterk beyging hvorugkyn þágufall eintölu;positive degree indefinite neuter dative singular;
lo;FSB-HK-ÞGFFT;frumstig sterk beyging hvorugkyn þágufall fleirtölu;positive degree indefinite neuter dative plural;
lo;FSB-KK-EFET;frumstig sterk beyging karlkyn eignarfall eintölu;positive degree indefinite masculine genitive singular;
lo;FSB-KK-EFFT;frumstig sterk beyging karlkyn eignarfall fleirtölu;positive degree indefinite masculine genitive plural;
lo;FSB-KK-NFET;frumstig sterk beyging karlkyn nefnifall eintölu;positive degree indefinite masculine nominative singular;
lo;FSB-KK-NFFT;frumstig sterk beyging karlkyn nefnifall fleirtölu;positive degree indefinite masculine nominative plural;
lo;FSB-KK-ÞFET;frumstig sterk beyging karlkyn þolfall eintölu;positive degree indefinite masculine accusative singular;
lo;FSB-KK-ÞFFT;frumstig sterk beyging karlkyn þolfall fleirtölu;positive degree indefinite masculine accusative plural;
lo;FSB-KK-ÞGFET;frumstig sterk beyging karlkyn þágufall eintölu;positive degree indefinite masculine dative singular;
lo;FSB-KK-ÞGFFT;frumstig sterk beyging karlkyn þágufall fleirtölu;positive degree indefinite masculine dative plural;
lo;FSB-KVK-EFET;frumstig sterk beyging kvenkyn eignarfall eintölu;positive degree indefinite feminine genitive singular;
lo;FSB-KVK-EFFT;frumstig sterk beyging kvenkyn eignarfall fleirtölu;positive degree indefinite feminine genitive plural;
lo;FSB-KVK-NFET;frumstig sterk beyging kvenkyn nefnifall eintölu;positive degree indefinite feminine nominative singular;
lo;FSB-KVK-NFFT;frumstig sterk beyging kvenkyn nefnifall fleirtölu;positive degree indefinite feminine nominative plural;
lo;FSB-KVK-ÞFET;frumstig sterk beyging kvenkyn þolfall eintölu;positive degree indefinite feminine accusative singular;
lo;FSB-KVK-ÞFFT;frumstig sterk beyging kvenkyn þolfall fleirtölu;positive degree indefinite feminine accusative plural;
lo;FSB-KVK-ÞGFET;frumstig sterk beyging kvenkyn þágufall eintölu;positive degree indefinite feminine dative singular;
lo;FSB-KVK-ÞGFFT;frumstig sterk beyging kvenkyn þágufall fleirtölu;positive degree indefinite feminine dative plural;
lo;FVB-HK-EFET;frumstig veik beyging hvorugkyn eignarfall eintölu;positive degree definite neuter genitive singular;
lo;FVB-HK-EFFT;frumstig veik beyging hvorugkyn eignarfall fleirtölu;positive degree definite neuter genitive plural;
lo;FVB-HK-NFET;frumstig veik beyging hvorugkyn nefnifall eintölu;positive degree definite neuter nominative singular;
lo;FVB-HK-NFFT;frumstig veik beyging hvorugkyn nefnifall fleirtölu;positive degree definite neuter nominative plural;
lo;FVB-HK-ÞFET;frumstig veik beyging hvorugkyn þolfall eintölu;positive degree definite neuter accusative singular;
lo;FVB-HK-ÞFFT;frumstig veik beyging hvorugkyn þolfall fleirtölu;positive degree definite accusative plural;
lo;FVB-HK-ÞGFET;frumstig veik beyging hvorugkyn þágufall eintölu;positive degree definite neuter dative singular;
lo;FVB-HK-ÞGFFT;frumstig veik beyging hvorugkyn þágufall fleirtölu;positive degree definite neuter dative plural;
lo;FVB-KK-EFET;frumstig veik beyging karlkyn eignarfall eintölu;positive degree definite neuter genitive singular;
lo;FVB-KK-EFFT;frumstig veik beyging karlkyn eignarfall fleirtölu;positive degree definite masculine genitive plural;
lo;FVB-KK-NFET;frumstig veik beyging karlkyn nefnifall eintölu;positive degree definite masculine nominative singular;
lo;FVB-KK-NFFT;frumstig veik beyging karlkyn nefnifall fleirtölu;positive degree definite masculine nominative plural;
lo;FVB-KK-ÞFET;frumstig veik beyging karlkyn þolfall eintölu;positive degree definite masculine accusative singular;
lo;FVB-KK-ÞFFT;frumstig veik beyging karlkyn þolfall fleirtölu;positive degree definite masculine accusative plural;
lo;FVB-KK-ÞGFET;frumstig veik beyging karlkyn þágufall eintölu;positive degree definite masculine dative singular;
lo;FVB-KK-ÞGFFT;frumstig veik beyging karlkyn þágufall fleirtölu;positive degree definite masculine dative plural;
lo;FVB-KVK-EFET;frumstig veik beyging kvenkyn eignarfall eintölu;positive degree definite feminine genitive singular;
lo;FVB-KVK-EFFT;frumstig veik beyging kvenkyn eignarfall fleirtölu;positive degree definite feminine genitive;
lo;FVB-KVK-NFET;frumstig veik beyging kvenkyn nefnifall eintölu;positive degree definite feminine nominative singular;
lo;FVB-KVK-NFFT;frumstig veik beyging kvenkyn nefnifall fleirtölu;positive degree definite feminine nominative plural;
lo;FVB-KVK-ÞFET;frumstig veik beyging kvenkyn þolfall eintölu;positive degre definite feminine accusative singular;
lo;FVB-KVK-ÞFFT;frumstig veik beyging kvenkyn þolfall fleirtölu;positive degree definite feminine accusative plural;
lo;FVB-KVK-ÞGFET;frumstig veik beyging kvenkyn þágufall eintölu;positive degree definite feminine dative singular;
lo;FVB-KVK-ÞGFFT;frumstig veik beyging kvenkyn þágufall fleirtölu;positive degree definite feminine dative plural;
lo;HK-EFET;hvorugkyn eignarfall eintölu;neuter genitive singular;
lo;HK-EFFT;hvorugkyn eignarfall fleirtölu;neuter genitive plural;
lo;HK-NFET;hvorugkyn nefnifall eintölu;neuter nominative singular;
lo;HK-NFFT;hvorugkyn nefnifall fleirtölu;neuter nominative plural;
lo;HK-ÞFET;hvorugkyn þolfall eintölu;neuter accusative singular;
lo;HK-ÞFFT;hvorugkyn þolfall fleirtölu;neuter accusative plural;
lo;HK-ÞGFET;hvorugkyn þágufall eintölu;neuter dative singular;
lo;HK-ÞGFFT;hvorugkyn þágufall fleirtölu;neuter dative plural;
lo;KK-EFET;karlkyn eignarfall eintölu;masculine genitive singular;
lo;KK-EFFT;karlkyn eignarfall fleirtölu;masculine genitive plural;
lo;KK-NFET;karlkyn nefnifall eintölu;masculine nominative singular;
lo;KK-NFFT;karlkyn nefnifall fleirtölu;masculine nominative plural;
lo;KK-ÞFET;karlkyn þolfall eintölu;masculine accusative singular;
lo;KK-ÞFFT;karlkyn þolfall fleirtölu;masculine accusative plural;
lo;KK-ÞGFET;karlkyn þágufall eintölu;masculine dative singular;
lo;KK-ÞGFFT;karlkyn þágufall fleirtölu;masculine dative plural;
lo;KVK-EFET;kvenkyn eignarfall eintölu;feminine genitive singular;
lo;KVK-EFFT;kvenkyn eignarfall fleirtölu;feminine genitive plural;
lo;KVK-NFET;kvenkyn nefnifall eintölu;feminine nominative singular;
lo;KVK-NFFT;kvenkyn nefnifall fleirtölu;feminine nominative plural;
lo;KVK-ÞFET;kvenkyn þolfall eintölu;feminine accusative singular;
lo;KVK-ÞFFT;kvenkyn þolfall fleirtölu;feminine accusative plural;
lo;KVK-ÞGFET;kvenkyn þágufall eintölu;feminine dative singular;
lo;KVK-ÞGFFT;kvenkyn þágufall fleirtölu;feminine dative plural;
lo;MST-HK-EFET;miðstig hvorugkyn eignarfall eintölu;comparative neuter genitive singular;
lo;MST-HK-EFFT;miðstig hvorugkyn eignarfall fleirtölu;comparative neuter genitive plural;
lo;MST-HK-NFET;miðstig hvorugkyn nefnifall eintölu;comparative neuter nominative singular;
lo;MST-HK-NFFT;miðstig hvorugkyn nefnifall fleirtölu;comparative neuter nominative plural;
lo;MST-HK-ÞFET;miðstig hvorugkyn þolfall eintölu;comparative neuter accusative singular;
lo;MST-HK-ÞFFT;miðstig hvorugkyn þolfall fleirtölu;comparative neuter accusative plural;
lo;MST-HK-ÞGFET;miðstig hvorugkyn þágufall eintölu;comparative neuter dative singular;
lo;MST-HK-ÞGFFT;miðstig hvorugkyn þágufall fleirtölu;comparative neuter dative plural;
lo;MST-KK-EFET;miðstig karlkyn eignarfall eintölu;comparative masculine genitive singular;
lo;MST-KK-EFFT;miðstig karlkyn eignarfall fleirtölu;comparative masculine genitive plural;
lo;MST-KK-NFET;miðstig karlkyn nefnifall eintölu;comparative masculine nominative singular;
lo;MST-KK-NFFT;miðstig karlkyn nefnifall fleirtölu;comparative masculine nominative plural;
lo;MST-KK-ÞFET;miðstig karlkyn þolfall eintölu;comparative masculine accusative singular;
lo;MST-KK-ÞFFT;miðstig karlkyn þolfall fleirtölu;comparative masculine accusative plural;
lo;MST-KK-ÞGFET;miðstig karlkyn þágufall eintölu;comparative masculine dative singular;
lo;MST-KK-ÞGFFT;miðstig karlkyn þágufall fleirtölu;comparative masculine dative plural;
lo;MST-KVK-EFET;miðstig kvenkyn eignarfall eintölu;comparative feminine genitive singular;
lo;MST-KVK-EFFT;miðstig kvenkyn eignarfall fleirtölu;comparative feminine genitive plural;
lo;MST-KVK-NFET;miðstig kvenkyn nefnifall eintölu;comparative feminine nominative singular;
lo;MST-KVK-NFFT;miðstig kvenkyn nefnifall fleirtölu;comparative feminine nominative plural;
lo;MST-KVK-ÞFET;miðstig kvenkyn þolfall eintölu;comparative feminine accusative singular;
lo;MST-KVK-ÞFFT;miðstig kvenkyn þolfall fleirtölu;comparative feminine accusative plural;
lo;MST-KVK-ÞGFET;miðstig kvenkyn þágufall eintölu;comparative feminine dative singular;
lo;MST-KVK-ÞGFFT;miðstig kvenkyn þágufall fleirtölu;comparative feminine dative plural;
lo;MST-SB-HK-ÞGFET;miðstig sterk beyging hvorugkyn þágufall eintölu;comparative indefinite neuter dative singular;
lo;MST-SB-KK-ÞGFFT;miðstig sterk beyging karlkyn þágufall fleirtölu;comparative indefinite masculine dative plural;
pfn;EFET;eignarfall eintölu;genitive singular;
pfn;EFFT;eignarfall fleirtölu;genitive plural;
pfn;NFET;nefnifall eintölu;nominative singular;
pfn;NFFT;nefnifall fleirtölu;nominative plural;
pfn;ÞFET;þolfall eintölu;accusative singular;
pfn;ÞFFT;þolfall fleirtölu;accusative plural;
pfn;ÞGFET;þágufall eintölu;dative singular;
pfn;ÞGFFT;þágufall fleirtölu;dative plural;
so;GM-BH-ET;germynd boðháttur eintala;active voice imperative singular;
so;GM-BH-FT;germynd boðháttur fleirtala;active voice imperative plural;
so;GM-BH-ST;germynd stýfður boðháttur;active voice clipped imperative;
so;GM-FH-NT-1P-ET;germynd framsöguháttur nútíð 1. persóna eintölu;active voice indicative present tense 1st person singular;
so;GM-FH-NT-1P-FT;germynd framsöguháttur nútíð 1. persóna fleirtölu;active voice indicative present tense 1st person plural;
